# 6 MV Wedge Off-axis Ratio - Wedge Direction

# Metadata
# M(off-axis distance, depth) at 100 cm SSD, 40 x 30 field
DESCRIPTION=M(off-axis distance, depth)/M(0, depth) at 100 cm SSD, wedge direction
SOURCE=Planning Data Book (28-04-2016)

# Depth (cm)
X_TITLE=Depth (cm)
X_HEADERS=OAD (cm),1.5 cm<br />Depth,5.0 cm<br />Depth,10.0 cm<br />Depth,20.0 cm<br />Depth
X_FORMAT={:.1f}
X_VALUES=1.5,5.0,10.0,20.0

# Off-axis distance (cm)
Y_TITLE=Off-axis Distance in<br>Wedge Direction (cm)
Y_HEADERS=
Y_FORMAT={:.1f}
Y_VALUES=-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13

# Table data
XY_FORMAT={:.3f}
XY_TYPE=NUMERIC
0.352,0.364,0.382,0.411
0.391,0.396,0.415,0.449
0.427,0.429,0.448,0.476
0.461,0.468,0.487,0.518
0.504,0.511,0.528,0.554
0.549,0.554,0.571,0.598
0.593,0.595,0.612,0.637
0.645,0.646,0.659,0.685
0.698,0.697,0.708,0.741
0.754,0.755,0.762,0.783
0.812,0.816,0.821,0.839
0.870,0.873,0.877,0.881
0.931,0.931,0.940,0.940
1.000,1.000,1.000,1.000
1.085,1.071,1.076,1.065
1.172,1.157,1.150,1.131
1.258,1.236,1.224,1.199
1.351,1.322,1.308,1.271
1.446,1.417,1.388,1.333
1.550,1.510,1.478,1.414
1.656,1.617,1.559,1.473
1.772,1.721,1.657,1.548
1.908,1.838,1.749,1.628
2.047,1.971,1.871,1.705
2.192,2.103,1.977,1.789
2.347,2.236,2.086,1.866
2.509,2.373,2.199,1.940
