# AAPM TG43 Anisotropy Factors

# Metadata
DESCRIPTION=
SOURCE=

X_TITLE=r (cm)
X_HEADERS=Polar angle \u03b8<br/>(deg),0.25 cm,0.50 cm,0.70 cm,1.00 cm,1.50 cm,2.00 cm,3.00 cm,5.00 cm,7.00 cm,10.00 cm
X_FORMAT={:.2f}
X_VALUES=0.25,0.50,0.70,1.00,1.50,2.00,3.00,5.00,7.00,10.00

Y_TITLE=Polar angle<br />(deg)
Y_HEADERS=
Y_FORMAT={:.0f}
Y_VALUES=0,2,5,7,10,15,20,25,30,40,50,60,70,80

# Table data
XY_FORMAT={:.3f}
XY_TYPE=NUMERIC
0.207,0.216,0.250,0.289,0.354,0.400,0.465,0.537,0.586,0.639
0.212,0.215,0.250,0.314,0.411,0.470,0.532,0.595,0.637,0.659
0.221,0.314,0.357,0.400,0.454,0.493,0.549,0.610,0.646,0.681
0.251,0.342,0.380,0.429,0.484,0.522,0.572,0.634,0.667,0.703
0.416,0.405,0.446,0.490,0.543,0.578,0.624,0.673,0.702,0.726
0.627,0.539,0.566,0.600,0.638,0.664,0.699,0.735,0.756,0.775
0.803,0.653,0.666,0.689,0.717,0.736,0.759,0.786,0.804,0.819
0.916,0.744,0.747,0.761,0.779,0.793,0.812,0.829,0.843,0.851
0.989,0.815,0.811,0.818,0.830,0.840,0.852,0.865,0.873,0.880
1.027,0.918,0.906,0.905,0.907,0.910,0.914,0.920,0.923,0.926
0.959,0.987,0.971,0.964,0.961,0.961,0.960,0.959,0.962,0.958
0.981,1.030,1.018,1.008,1.000,0.997,0.993,0.987,0.988,0.986
0.994,0.988,1.035,1.037,1.028,1.024,1.017,1.009,1.008,0.999
0.999,0.996,0.997,1.002,1.030,1.030,1.027,1.021,1.017,1.014
